Total Nacional;Comunidades y Ciudades Autónomas;Edad (año a año);Españoles/Extranjeros;Sexo;Año;Total
Total Nacional;;66 años;Extranjeros;Hombres;2000;3.328
Total Nacional;;66 años;Extranjeros;Mujeres;2006;9.091
Total Nacional;;66 años;Extranjeros;Mujeres;2005;7.945
Total Nacional;;66 años;Extranjeros;Mujeres;2004;6.204
Total Nacional;;66 años;Extranjeros;Mujeres;2003;6.130
Total Nacional;;66 años;Extranjeros;Mujeres;2002;4.791
Total Nacional;;66 años;Extranjeros;Mujeres;2001;3.815
Total Nacional;;66 años;Extranjeros;Mujeres;2000;3.331
Total Nacional;;67 años;Españoles;Hombres;2006;153.104
Total Nacional;;67 años;Españoles;Hombres;2005;174.521
Total Nacional;;67 años;Españoles;Hombres;2004;193.044
Total Nacional;;67 años;Españoles;Hombres;2003;190.516
Total Nacional;;67 años;Españoles;Hombres;2002;190.932
Total Nacional;;67 años;Españoles;Hombres;2001;199.892
Total Nacional;;67 años;Españoles;Hombres;2000;198.612
Total Nacional;;67 años;Españoles;Mujeres;2006;173.821
Total Nacional;;67 años;Españoles;Mujeres;2005;197.694
Total Nacional;;67 años;Españoles;Mujeres;2004;223.953
Total Nacional;;67 años;Españoles;Mujeres;2003;216.428
Total Nacional;;67 años;Españoles;Mujeres;2002;217.310
Total Nacional;;67 años;Españoles;Mujeres;2001;226.925
Total Nacional;;67 años;Españoles;Mujeres;2000;226.038
Total Nacional;;67 años;Extranjeros;Hombres;2006;9.006
Total Nacional;;67 años;Extranjeros;Hombres;2005;7.598
Total Nacional;;67 años;Extranjeros;Hombres;2004;6.293
Total Nacional;;67 años;Extranjeros;Hombres;2003;6.010
Total Nacional;;67 años;Extranjeros;Hombres;2002;4.641
Total Nacional;;67 años;Extranjeros;Hombres;2001;3.672
Total Nacional;;67 años;Extranjeros;Hombres;2000;3.450
Total Nacional;;67 años;Extranjeros;Mujeres;2006;8.389
Total Nacional;;67 años;Extranjeros;Mujeres;2005;7.217
Total Nacional;;67 años;Extranjeros;Mujeres;2004;5.924
Total Nacional;;67 años;Extranjeros;Mujeres;2003;5.626
Total Nacional;;67 años;Extranjeros;Mujeres;2002;4.442
Total Nacional;;67 años;Extranjeros;Mujeres;2001;3.655
Total Nacional;;67 años;Extranjeros;Mujeres;2000;3.258
Total Nacional;;68 años;Españoles;Hombres;2006;171.534
Total Nacional;;68 años;Españoles;Hombres;2005;189.879
Total Nacional;;68 años;Españoles;Hombres;2004;187.188
Total Nacional;;68 años;Españoles;Hombres;2003;187.800
Total Nacional;;68 años;Españoles;Hombres;2002;196.089
Total Nacional;;68 años;Españoles;Hombres;2001;195.398
Total Nacional;;68 años;Españoles;Hombres;2000;188.082
Total Nacional;;68 años;Españoles;Mujeres;2006;196.645
Total Nacional;;68 años;Españoles;Mujeres;2005;222.596
Total Nacional;;68 años;Españoles;Mujeres;2004;214.937
Total Nacional;;68 años;Españoles;Mujeres;2003;216.039
Total Nacional;;68 años;Españoles;Mujeres;2002;225.279
Total Nacional;;68 años;Españoles;Mujeres;2001;224.757
Total Nacional;;68 años;Españoles;Mujeres;2000;215.420
Total Nacional;;68 años;Extranjeros;Hombres;2006;8.214
Total Nacional;;68 años;Extranjeros;Hombres;2005;7.237
Total Nacional;;68 años;Extranjeros;Hombres;2004;5.703
Total Nacional;;68 años;Extranjeros;Hombres;2003;5.471
Total Nacional;;68 años;Extranjeros;Hombres;2002;4.212
Total Nacional;;68 años;Extranjeros;Hombres;2001;3.743
Total Nacional;;68 años;Extranjeros;Hombres;2000;3.256
Total Nacional;;68 años;Extranjeros;Mujeres;2006;7.631
Total Nacional;;68 años;Extranjeros;Mujeres;2005;6.707
Total Nacional;;68 años;Extranjeros;Mujeres;2004;5.367
Total Nacional;;68 años;Extranjeros;Mujeres;2003;5.247
Total Nacional;;68 años;Extranjeros;Mujeres;2002;4.175
Total Nacional;;68 años;Extranjeros;Mujeres;2001;3.548
Total Nacional;;68 años;Extranjeros;Mujeres;2000;3.117
Total Nacional;;69 años;Españoles;Hombres;2006;186.399
Total Nacional;;69 años;Españoles;Hombres;2005;183.881
Total Nacional;;69 años;Españoles;Hombres;2004;184.168
Total Nacional;;69 años;Españoles;Hombres;2003;192.317
Total Nacional;;69 años;Españoles;Hombres;2002;191.200
Total Nacional;;69 años;Españoles;Hombres;2001;184.560
Total Nacional;;69 años;Españoles;Hombres;2000;185.680
Total Nacional;;69 años;Españoles;Mujeres;2006;220.979
Total Nacional;;69 años;Españoles;Mujeres;2005;213.529
Total Nacional;;69 años;Españoles;Mujeres;2004;214.378
Total Nacional;;69 años;Españoles;Mujeres;2003;223.642
Total Nacional;;69 años;Españoles;Mujeres;2002;222.724
Total Nacional;;69 años;Españoles;Mujeres;2001;213.870
Total Nacional;;69 años;Españoles;Mujeres;2000;220.293
Total Nacional;;69 años;Extranjeros;Hombres;2006;7.689
Total Nacional;;69 años;Extranjeros;Hombres;2005;6.451
Total Nacional;;69 años;Extranjeros;Hombres;2004;5.191
Total Nacional;;69 años;Extranjeros;Hombres;2003;4.838
Total Nacional;;69 años;Extranjeros;Hombres;2002;4.250
Total Nacional;;69 años;Extranjeros;Hombres;2001;3.520
Total Nacional;;69 años;Extranjeros;Hombres;2000;3.510
Total Nacional;;69 años;Extranjeros;Mujeres;2006;7.010
Total Nacional;;69 años;Extranjeros;Mujeres;2005;6.072
Total Nacional;;69 años;Extranjeros;Mujeres;2004;4.888
Total Nacional;;69 años;Extranjeros;Mujeres;2003;4.817
Total Nacional;;69 años;Extranjeros;Mujeres;2002;4.017
Total Nacional;;69 años;Extranjeros;Mujeres;2001;3.311
Total Nacional;;69 años;Extranjeros;Mujeres;2000;3.339
Total Nacional;;70 años;Españoles;Hombres;2006;180.229
Total Nacional;;70 años;Españoles;Hombres;2005;180.658
Total Nacional;;70 años;Españoles;Hombres;2004;188.206
Total Nacional;;70 años;Españoles;Hombres;2003;186.988
Total Nacional;;70 años;Españoles;Hombres;2002;180.254
Total Nacional;;70 años;Españoles;Hombres;2001;181.852
Total Nacional;;70 años;Españoles;Hombres;2000;172.911
Total Nacional;;70 años;Españoles;Mujeres;2006;211.836
Total Nacional;;70 años;Españoles;Mujeres;2005;212.708
Total Nacional;;70 años;Españoles;Mujeres;2004;221.739
Total Nacional;;70 años;Españoles;Mujeres;2003;220.984
Total Nacional;;70 años;Españoles;Mujeres;2002;211.669
Total Nacional;;70 años;Españoles;Mujeres;2001;218.632
Total Nacional;;70 años;Españoles;Mujeres;2000;207.585
Total Nacional;;70 años;Extranjeros;Hombres;2006;6.823
Total Nacional;;70 años;Extranjeros;Hombres;2005;5.844
Total Nacional;;70 años;Extranjeros;Hombres;2004;4.475
Total Nacional;;70 años;Extranjeros;Hombres;2003;4.818
Total Nacional;;70 años;Extranjeros;Hombres;2002;3.952
Total Nacional;;70 años;Extranjeros;Hombres;2001;3.746
Total Nacional;;70 años;Extranjeros;Hombres;2000;3.120
Total Nacional;;70 años;Extranjeros;Mujeres;2006;6.239
Total Nacional;;70 años;Extranjeros;Mujeres;2005;5.515
Total Nacional;;70 años;Extranjeros;Mujeres;2004;4.450
Total Nacional;;70 años;Extranjeros;Mujeres;2003;4.572
Total Nacional;;70 años;Extranjeros;Mujeres;2002;3.688
Total Nacional;;70 años;Extranjeros;Mujeres;2001;3.563
Total Nacional;;70 años;Extranjeros;Mujeres;2000;2.965
