Total Nacional;Comunidades y Ciudades Autónomas;Edad (año a año);Españoles/Extranjeros;Sexo;Año;Total
Total Nacional;;30 años;Extranjeros;Mujeres;2001;18.137
Total Nacional;;30 años;Extranjeros;Mujeres;2000;10.715
Total Nacional;;31 años;Españoles;Hombres;2006;344.612
Total Nacional;;31 años;Españoles;Hombres;2005;338.872
Total Nacional;;31 años;Españoles;Hombres;2004;336.908
Total Nacional;;31 años;Españoles;Hombres;2003;333.043
Total Nacional;;31 años;Españoles;Hombres;2002;327.957
Total Nacional;;31 años;Españoles;Hombres;2001;324.338
Total Nacional;;31 años;Españoles;Hombres;2000;321.461
Total Nacional;;31 años;Españoles;Mujeres;2006;331.479
Total Nacional;;31 años;Españoles;Mujeres;2005;324.515
Total Nacional;;31 años;Españoles;Mujeres;2004;324.278
Total Nacional;;31 años;Españoles;Mujeres;2003;320.524
Total Nacional;;31 años;Españoles;Mujeres;2002;317.095
Total Nacional;;31 años;Españoles;Mujeres;2001;315.951
Total Nacional;;31 años;Españoles;Mujeres;2000;315.201
Total Nacional;;31 años;Extranjeros;Hombres;2006;71.988
Total Nacional;;31 años;Extranjeros;Hombres;2005;62.788
Total Nacional;;31 años;Extranjeros;Hombres;2004;51.120
Total Nacional;;31 años;Extranjeros;Hombres;2003;43.296
Total Nacional;;31 años;Extranjeros;Hombres;2002;33.572
Total Nacional;;31 años;Extranjeros;Hombres;2001;21.630
Total Nacional;;31 años;Extranjeros;Hombres;2000;12.882
Total Nacional;;31 años;Extranjeros;Mujeres;2006;54.862
Total Nacional;;31 años;Extranjeros;Mujeres;2005;48.266
Total Nacional;;31 años;Extranjeros;Mujeres;2004;39.656
Total Nacional;;31 años;Extranjeros;Mujeres;2003;34.394
Total Nacional;;31 años;Extranjeros;Mujeres;2002;26.298
Total Nacional;;31 años;Extranjeros;Mujeres;2001;17.377
Total Nacional;;31 años;Extranjeros;Mujeres;2000;11.246
Total Nacional;;32 años;Españoles;Hombres;2006;339.598
Total Nacional;;32 años;Españoles;Hombres;2005;337.778
Total Nacional;;32 años;Españoles;Hombres;2004;333.185
Total Nacional;;32 años;Españoles;Hombres;2003;328.544
Total Nacional;;32 años;Españoles;Hombres;2002;325.413
Total Nacional;;32 años;Españoles;Hombres;2001;322.653
Total Nacional;;32 años;Españoles;Hombres;2000;326.180
Total Nacional;;32 años;Españoles;Mujeres;2006;325.601
Total Nacional;;32 años;Españoles;Mujeres;2005;325.319
Total Nacional;;32 años;Españoles;Mujeres;2004;320.859
Total Nacional;;32 años;Españoles;Mujeres;2003;317.910
Total Nacional;;32 años;Españoles;Mujeres;2002;316.754
Total Nacional;;32 años;Españoles;Mujeres;2001;315.630
Total Nacional;;32 años;Españoles;Mujeres;2000;321.136
Total Nacional;;32 años;Extranjeros;Hombres;2006;67.902
Total Nacional;;32 años;Extranjeros;Hombres;2005;62.602
Total Nacional;;32 años;Extranjeros;Hombres;2004;48.398
Total Nacional;;32 años;Extranjeros;Hombres;2003;44.590
Total Nacional;;32 años;Extranjeros;Hombres;2002;32.334
Total Nacional;;32 años;Extranjeros;Hombres;2001;21.715
Total Nacional;;32 años;Extranjeros;Hombres;2000;12.621
Total Nacional;;32 años;Extranjeros;Mujeres;2006;51.830
Total Nacional;;32 años;Extranjeros;Mujeres;2005;46.920
